id,name,brand,product_type,price,quantity,description,battery_life,features,connectivity,movement_type,power_reserve,water_resistant
11,Patek Philippe Voyager 66 X,Patek Philippe,electronic,6033480,59,Mẫu Patek Philippe Voyager 66 X của Patek Philippe - thiết kế hiện đại.,5.0,heart_rate;sleep_tracking;music_control,bluetooth,,,
12,Skagen Prime 788 Lite,Skagen,electronic,2117507,55,Mẫu Skagen Prime 788 Lite của Skagen - thiết kế hiện đại.,2.0,heart_rate;sleep_tracking;music_control;nfc,wifi,,,
13,Orient Prime 862 Z,Orient,electronic,9330068,19,Mẫu Orient Prime 862 Z của Orient - thiết kế hiện đại.,3.0,heart_rate;step_counter,none,,,
14,Orient Urban 900 Pro,Orient,electronic,3972058,30,Mẫu Orient Urban 900 Pro của Orient - thiết kế hiện đại.,5.0,gps,gps,,,
15,Skagen Master 132 S,Skagen,electronic,14229306,21,Mẫu Skagen Master 132 S của Skagen - thiết kế hiện đại.,3.0,music_control;gps;step_counter;notifications;nfc,gps,,,
16,Swatch Apex 922 Z,Swatch,electronic,7046549,31,Mẫu Swatch Apex 922 Z của Swatch - thiết kế hiện đại.,2.0,sleep_tracking,bluetooth,,,
17,Timex Voyager 226 Edition,Timex,electronic,1529400,80,Mẫu Timex Voyager 226 Edition của Timex - thiết kế hiện đại.,1.0,gps;heart_rate,none,,,
18,Timex Prime 686 S,Timex,mechanical,3606434,16,Mẫu Timex Prime 686 S của Timex - thiết kế cổ điển.,,,,manual,40.0,0.0
19,Fossil Sport 100 X,Fossil,electronic,5637315,52,Mẫu Fossil Sport 100 X của Fossil - thiết kế hiện đại.,4.0,gps,bluetooth,,,
20,Tag Heuer Sport 255 Line,Tag Heuer,mechanical,3258029,57,Mẫu Tag Heuer Sport 255 Line của Tag Heuer - thiết kế cổ điển.,,,,automatic,48.0,1.0
21,Timex Sport 454 Z,Timex,mechanical,1919677,83,Mẫu Timex Sport 454 Z của Timex - thiết kế cổ điển.,,,,automatic,36.0,1.0
22,Bulova Apex 219 X,Bulova,mechanical,13585422,21,Mẫu Bulova Apex 219 X của Bulova - thiết kế cổ điển.,,,,manual,36.0,0.0
23,Longines Prime 434 Z,Longines,mechanical,10097134,62,Mẫu Longines Prime 434 Z của Longines - thiết kế cổ điển.,,,,automatic,40.0,0.0
24,Casio Voyager 754 Z,Casio,mechanical,1383885,40,Mẫu Casio Voyager 754 Z của Casio - thiết kế cổ điển.,,,,automatic,36.0,0.0
25,Invicta Master 59 Z,Invicta,electronic,1661616,23,Mẫu Invicta Master 59 Z của Invicta - thiết kế hiện đại.,1.0,gps;sleep_tracking;notifications;waterproof;heart_rate,wifi,,,
26,Casio Voyager 84 X,Casio,electronic,10031911,72,Mẫu Casio Voyager 84 X của Casio - thiết kế hiện đại.,5.0,step_counter;gps;sleep_tracking,none,,,
27,Hublot Master 688 Pro,Hublot,mechanical,7129756,96,Mẫu Hublot Master 688 Pro của Hublot - thiết kế cổ điển.,,,,automatic,36.0,0.0
28,Movado Sport 76 Z,Movado,electronic,3590738,33,Mẫu Movado Sport 76 Z của Movado - thiết kế hiện đại.,2.0,gps;notifications;nfc,none,,,
29,Skagen Prime 627 Z,Skagen,mechanical,613435,70,Mẫu Skagen Prime 627 Z của Skagen - thiết kế cổ điển.,,,,manual,72.0,1.0
30,Tissot Prime 119 Series,Tissot,electronic,11265042,19,Mẫu Tissot Prime 119 Series của Tissot - thiết kế hiện đại.,3.0,waterproof;sleep_tracking;nfc,wifi,,,
31,Rolex Pilot 501 Pro,Rolex,electronic,13627379,6,Mẫu Rolex Pilot 501 Pro của Rolex - thiết kế hiện đại.,1.0,step_counter;heart_rate;music_control;nfc,wifi,,,
32,Rolex Master 760 S,Rolex,electronic,8499366,54,Mẫu Rolex Master 760 S của Rolex - thiết kế hiện đại.,5.0,gps,bluetooth,,,
33,Tissot Pilot 37 Lite,Tissot,electronic,8946389,18,Mẫu Tissot Pilot 37 Lite của Tissot - thiết kế hiện đại.,4.0,heart_rate;nfc,none,,,
34,Casio Urban 216 Line,Casio,electronic,10170534,45,Mẫu Casio Urban 216 Line của Casio - thiết kế hiện đại.,10.0,music_control;step_counter;sleep_tracking;gps;notifications,wifi,,,
35,Hamilton Heritage 26 Model,Hamilton,electronic,11180185,42,Mẫu Hamilton Heritage 26 Model của Hamilton - thiết kế hiện đại.,10.0,waterproof;nfc;gps;heart_rate,gps,,,
36,Bulova Elite 205 S,Bulova,electronic,5570047,29,Mẫu Bulova Elite 205 S của Bulova - thiết kế hiện đại.,2.0,waterproof,gps,,,
37,Citizen Prime 360 Z,Citizen,mechanical,6295337,68,Mẫu Citizen Prime 360 Z của Citizen - thiết kế cổ điển.,,,,manual,36.0,1.0
38,Rolex Master 595 Pro,Rolex,electronic,1054729,76,Mẫu Rolex Master 595 Pro của Rolex - thiết kế hiện đại.,4.0,sleep_tracking;waterproof;step_counter,bluetooth,,,
39,Movado Elite 261 Edition,Movado,mechanical,10777387,0,Mẫu Movado Elite 261 Edition của Movado - thiết kế cổ điển.,,,,automatic,42.0,0.0
40,Tag Heuer Voyager 322 Series,Tag Heuer,mechanical,10936437,38,Mẫu Tag Heuer Voyager 322 Series của Tag Heuer - thiết kế cổ điển.,,,,manual,72.0,0.0
41,Omega Pilot 131 Line,Omega,mechanical,6596472,48,Mẫu Omega Pilot 131 Line của Omega - thiết kế cổ điển.,,,,automatic,60.0,0.0
42,Skagen Classic 312 Pro,Skagen,mechanical,3547649,100,Mẫu Skagen Classic 312 Pro của Skagen - thiết kế cổ điển.,,,,manual,48.0,0.0
43,Fossil Pilot 485 Model,Fossil,mechanical,10053336,36,Mẫu Fossil Pilot 485 Model của Fossil - thiết kế cổ điển.,,,,manual,36.0,1.0
44,Timex Elite 151 Edition,Timex,electronic,1170099,60,Mẫu Timex Elite 151 Edition của Timex - thiết kế hiện đại.,5.0,notifications,gps,,,
45,Movado Elite 736 X,Movado,electronic,7668469,31,Mẫu Movado Elite 736 X của Movado - thiết kế hiện đại.,2.0,gps,gps,,,
46,Invicta Apex 52 Z,Invicta,mechanical,4113375,15,Mẫu Invicta Apex 52 Z của Invicta - thiết kế cổ điển.,,,,manual,40.0,0.0
47,Skagen Voyager 325 S,Skagen,electronic,9383459,92,Mẫu Skagen Voyager 325 S của Skagen - thiết kế hiện đại.,5.0,notifications;gps;sleep_tracking;waterproof,gps,,,
48,Timex Prime 785 Z,Timex,mechanical,7526657,30,Mẫu Timex Prime 785 Z của Timex - thiết kế cổ điển.,,,,manual,48.0,1.0
49,Timex Prime 344 Lite,Timex,electronic,13448889,10,Mẫu Timex Prime 344 Lite của Timex - thiết kế hiện đại.,2.0,waterproof;notifications,wifi,,,
50,Citizen Heritage 418 Lite,Citizen,electronic,8367862,53,Mẫu Citizen Heritage 418 Lite của Citizen - thiết kế hiện đại.,1.0,music_control;waterproof,bluetooth,,,
51,Movado Heritage 489 Edition,Movado,electronic,14169754,38,Mẫu Movado Heritage 489 Edition của Movado - thiết kế hiện đại.,10.0,music_control;step_counter;sleep_tracking;notifications,wifi,,,
52,Rolex Heritage 498 Edition,Rolex,electronic,6138429,85,Mẫu Rolex Heritage 498 Edition của Rolex - thiết kế hiện đại.,7.0,nfc;music_control;waterproof;gps,bluetooth,,,
53,Movado Voyager 679 Edition,Movado,electronic,1717238,54,Mẫu Movado Voyager 679 Edition của Movado - thiết kế hiện đại.,2.0,nfc;heart_rate;notifications;waterproof,none,,,
54,Tag Heuer Urban 780 X,Tag Heuer,mechanical,4534721,53,Mẫu Tag Heuer Urban 780 X của Tag Heuer - thiết kế cổ điển.,,,,manual,80.0,1.0
55,Skagen Classic 975 Lite,Skagen,electronic,3751221,8,Mẫu Skagen Classic 975 Lite của Skagen - thiết kế hiện đại.,10.0,heart_rate,wifi,,,
56,Seiko Voyager 157 Line,Seiko,mechanical,2330204,85,Mẫu Seiko Voyager 157 Line của Seiko - thiết kế cổ điển.,,,,automatic,60.0,1.0
57,Rolex Urban 172 One,Rolex,electronic,9305089,95,Mẫu Rolex Urban 172 One của Rolex - thiết kế hiện đại.,7.0,nfc,none,,,
58,Seiko Prime 590 X,Seiko,mechanical,6251489,91,Mẫu Seiko Prime 590 X của Seiko - thiết kế cổ điển.,,,,automatic,36.0,0.0
59,Timex Sport 714 Pro,Timex,electronic,12829252,76,Mẫu Timex Sport 714 Pro của Timex - thiết kế hiện đại.,10.0,heart_rate,none,,,
60,Swatch Sport 519 Lite,Swatch,electronic,683456,53,Mẫu Swatch Sport 519 Lite của Swatch - thiết kế hiện đại.,10.0,gps;waterproof;nfc;music_control,wifi,,,
61,Invicta Prime 631 Z,Invicta,mechanical,11732301,59,Mẫu Invicta Prime 631 Z của Invicta - thiết kế cổ điển.,,,,manual,80.0,0.0
62,Tag Heuer Elite 851 Series,Tag Heuer,electronic,4544460,57,Mẫu Tag Heuer Elite 851 Series của Tag Heuer - thiết kế hiện đại.,2.0,music_control;nfc;heart_rate;waterproof,none,,,
63,Fossil Urban 817 Pro,Fossil,mechanical,5434913,76,Mẫu Fossil Urban 817 Pro của Fossil - thiết kế cổ điển.,,,,manual,60.0,1.0
64,Fossil Sport 248 X,Fossil,electronic,7584379,97,Mẫu Fossil Sport 248 X của Fossil - thiết kế hiện đại.,2.0,notifications;waterproof;heart_rate;sleep_tracking,none,,,
65,Timex Prime 680 One,Timex,mechanical,5850797,70,Mẫu Timex Prime 680 One của Timex - thiết kế cổ điển.,,,,manual,48.0,0.0
66,Swatch Apex 278 Pro,Swatch,electronic,4145353,15,Mẫu Swatch Apex 278 Pro của Swatch - thiết kế hiện đại.,7.0,sleep_tracking;heart_rate,wifi,,,
67,Bulova Prime 742 One,Bulova,mechanical,14660802,67,Mẫu Bulova Prime 742 One của Bulova - thiết kế cổ điển.,,,,manual,36.0,1.0
68,Swatch Master 310 Edition,Swatch,mechanical,10766268,16,Mẫu Swatch Master 310 Edition của Swatch - thiết kế cổ điển.,,,,manual,36.0,1.0
69,Tissot Apex 106 Edition,Tissot,electronic,8823931,60,Mẫu Tissot Apex 106 Edition của Tissot - thiết kế hiện đại.,4.0,sleep_tracking;gps;heart_rate;nfc,gps,,,
70,Citizen Heritage 504 Series,Citizen,mechanical,8866807,87,Mẫu Citizen Heritage 504 Series của Citizen - thiết kế cổ điển.,,,,automatic,40.0,1.0
71,Omega Sport 255 Series,Omega,electronic,8592059,53,Mẫu Omega Sport 255 Series của Omega - thiết kế hiện đại.,5.0,waterproof;music_control;step_counter;notifications;sleep_tracking,gps,,,
72,Movado Heritage 313 One,Movado,mechanical,9504896,78,Mẫu Movado Heritage 313 One của Movado - thiết kế cổ điển.,,,,automatic,80.0,1.0
73,Rolex Sport 161 Line,Rolex,electronic,3020296,9,Mẫu Rolex Sport 161 Line của Rolex - thiết kế hiện đại.,2.0,music_control,gps,,,
74,Bulova Prime 34 Line,Bulova,electronic,4677521,36,Mẫu Bulova Prime 34 Line của Bulova - thiết kế hiện đại.,7.0,gps;sleep_tracking;notifications;nfc,wifi,,,
75,Skagen Elite 664 Model,Skagen,mechanical,13671966,18,Mẫu Skagen Elite 664 Model của Skagen - thiết kế cổ điển.,,,,automatic,36.0,1.0
76,Citizen Eco-Drive Voyager 944 Pro,Citizen Eco-Drive,electronic,6867725,59,Mẫu Citizen Eco-Drive Voyager 944 Pro của Citizen Eco-Drive - thiết kế hiện đại.,7.0,music_control;nfc;step_counter,gps,,,
77,Citizen Eco-Drive Classic 911 X,Citizen Eco-Drive,mechanical,11150742,77,Mẫu Citizen Eco-Drive Classic 911 X của Citizen Eco-Drive - thiết kế cổ điển.,,,,manual,36.0,1.0
78,Movado Voyager 974 Edition,Movado,mechanical,14993800,86,Mẫu Movado Voyager 974 Edition của Movado - thiết kế cổ điển.,,,,manual,60.0,1.0
79,Hamilton Apex 532 S,Hamilton,electronic,13783055,23,Mẫu Hamilton Apex 532 S của Hamilton - thiết kế hiện đại.,5.0,notifications;heart_rate;waterproof;nfc,gps,,,
80,Orient Master 338 X,Orient,mechanical,10558268,36,Mẫu Orient Master 338 X của Orient - thiết kế cổ điển.,,,,manual,80.0,0.0
81,Citizen Urban 259 Lite,Citizen,mechanical,2180863,98,Mẫu Citizen Urban 259 Lite của Citizen - thiết kế cổ điển.,,,,manual,80.0,0.0
82,Seiko Pilot 474 X,Seiko,electronic,1285959,66,Mẫu Seiko Pilot 474 X của Seiko - thiết kế hiện đại.,3.0,notifications;sleep_tracking;waterproof;heart_rate;gps,none,,,
83,Omega Apex 902 S,Omega,electronic,2260678,80,Mẫu Omega Apex 902 S của Omega - thiết kế hiện đại.,5.0,nfc;notifications,bluetooth,,,
84,Citizen Elite 862 Series,Citizen,electronic,7190994,15,Mẫu Citizen Elite 862 Series của Citizen - thiết kế hiện đại.,7.0,notifications;sleep_tracking,none,,,
85,Rolex Heritage 855 S,Rolex,electronic,14713547,31,Mẫu Rolex Heritage 855 S của Rolex - thiết kế hiện đại.,4.0,nfc;waterproof;gps;step_counter;sleep_tracking,bluetooth,,,
86,Patek Philippe Urban 957 Z,Patek Philippe,mechanical,4374004,0,Mẫu Patek Philippe Urban 957 Z của Patek Philippe - thiết kế cổ điển.,,,,manual,72.0,0.0
87,Movado Apex 887 Model,Movado,electronic,6974937,61,Mẫu Movado Apex 887 Model của Movado - thiết kế hiện đại.,3.0,music_control;waterproof;nfc,wifi,,,
88,Timex Voyager 393 Line,Timex,electronic,12912188,52,Mẫu Timex Voyager 393 Line của Timex - thiết kế hiện đại.,1.0,notifications;sleep_tracking;waterproof,gps,,,
89,Tissot Apex 988 Edition,Tissot,electronic,2330571,75,Mẫu Tissot Apex 988 Edition của Tissot - thiết kế hiện đại.,3.0,notifications,bluetooth,,,
90,Longines Classic 740 Model,Longines,electronic,6444690,83,Mẫu Longines Classic 740 Model của Longines - thiết kế hiện đại.,2.0,notifications,none,,,
91,Hublot Sport 873 Lite,Hublot,mechanical,12858949,68,Mẫu Hublot Sport 873 Lite của Hublot - thiết kế cổ điển.,,,,manual,42.0,0.0
92,Bulova Pilot 37 One,Bulova,electronic,1492101,80,Mẫu Bulova Pilot 37 One của Bulova - thiết kế hiện đại.,7.0,waterproof;sleep_tracking;heart_rate,gps,,,
93,Orient Apex 171 Pro,Orient,electronic,13599649,5,Mẫu Orient Apex 171 Pro của Orient - thiết kế hiện đại.,3.0,step_counter,none,,,
94,Tissot Elite 544 X,Tissot,mechanical,8705957,23,Mẫu Tissot Elite 544 X của Tissot - thiết kế cổ điển.,,,,automatic,40.0,1.0
95,Hublot Voyager 700 Line,Hublot,electronic,7716175,74,Mẫu Hublot Voyager 700 Line của Hublot - thiết kế hiện đại.,2.0,notifications;sleep_tracking,none,,,
96,Seiko Apex 923 Pro,Seiko,electronic,10325358,20,Mẫu Seiko Apex 923 Pro của Seiko - thiết kế hiện đại.,1.0,sleep_tracking;step_counter;nfc;waterproof,none,,,
97,Omega Elite 394 S,Omega,electronic,2046472,48,Mẫu Omega Elite 394 S của Omega - thiết kế hiện đại.,5.0,step_counter;sleep_tracking;nfc,bluetooth,,,
98,Hublot Prime 9 One,Hublot,electronic,13043477,99,Mẫu Hublot Prime 9 One của Hublot - thiết kế hiện đại.,7.0,notifications,none,,,
99,Timex Voyager 822 Lite,Timex,electronic,3675566,24,Mẫu Timex Voyager 822 Lite của Timex - thiết kế hiện đại.,5.0,nfc;sleep_tracking;heart_rate,bluetooth,,,
100,Longines Classic 594 Lite,Longines,mechanical,11119217,11,Mẫu Longines Classic 594 Lite của Longines - thiết kế cổ điển.,,,,manual,42.0,0.0
101,Fossil Master 806 Z,Fossil,mechanical,13208679,46,Mẫu Fossil Master 806 Z của Fossil - thiết kế cổ điển.,,,,manual,80.0,1.0
102,Bulova Prime 765 Lite,Bulova,mechanical,12161372,59,Mẫu Bulova Prime 765 Lite của Bulova - thiết kế cổ điển.,,,,automatic,40.0,1.0
103,Hublot Pilot 375 Series,Hublot,electronic,11964889,1,Mẫu Hublot Pilot 375 Series của Hublot - thiết kế hiện đại.,3.0,gps;waterproof;nfc;sleep_tracking;music_control,none,,,
104,Timex Apex 26 One,Timex,mechanical,13321405,71,Mẫu Timex Apex 26 One của Timex - thiết kế cổ điển.,,,,manual,60.0,1.0
105,Longines Prime 665 X,Longines,electronic,2191801,5,Mẫu Longines Prime 665 X của Longines - thiết kế hiện đại.,1.0,notifications;heart_rate;music_control,wifi,,,
106,Tissot Heritage 465 Lite,Tissot,electronic,10222050,95,Mẫu Tissot Heritage 465 Lite của Tissot - thiết kế hiện đại.,7.0,music_control;step_counter;sleep_tracking;gps;waterproof,bluetooth,,,
107,Citizen Eco-Drive Heritage 962 Pro,Citizen Eco-Drive,electronic,974386,47,Mẫu Citizen Eco-Drive Heritage 962 Pro của Citizen Eco-Drive - thiết kế hiện đại.,2.0,notifications;gps;nfc;heart_rate,none,,,
108,Swatch Classic 408 Pro,Swatch,electronic,3252224,15,Mẫu Swatch Classic 408 Pro của Swatch - thiết kế hiện đại.,10.0,gps;sleep_tracking;notifications;step_counter,bluetooth,,,
109,Tag Heuer Elite 129 One,Tag Heuer,mechanical,3475481,97,Mẫu Tag Heuer Elite 129 One của Tag Heuer - thiết kế cổ điển.,,,,automatic,60.0,1.0
110,Timex Urban 793 Model,Timex,electronic,11935334,76,Mẫu Timex Urban 793 Model của Timex - thiết kế hiện đại.,1.0,nfc;gps;step_counter,none,,,
111,Orient Classic 135 Edition,Orient,electronic,5694513,100,Mẫu Orient Classic 135 Edition của Orient - thiết kế hiện đại.,2.0,sleep_tracking;heart_rate;gps;nfc;music_control,wifi,,,
112,Invicta Sport 764 Series,Invicta,electronic,7405566,99,Mẫu Invicta Sport 764 Series của Invicta - thiết kế hiện đại.,3.0,gps;waterproof;step_counter;notifications;heart_rate,none,,,
113,Seiko Classic 491 X,Seiko,electronic,6680967,13,Mẫu Seiko Classic 491 X của Seiko - thiết kế hiện đại.,4.0,gps;heart_rate;nfc;step_counter,wifi,,,
114,Rolex Voyager 649 One,Rolex,mechanical,8451168,41,Mẫu Rolex Voyager 649 One của Rolex - thiết kế cổ điển.,,,,manual,60.0,0.0
115,Invicta Voyager 441 Series,Invicta,mechanical,11999893,14,Mẫu Invicta Voyager 441 Series của Invicta - thiết kế cổ điển.,,,,automatic,48.0,0.0
116,Patek Philippe Urban 848 S,Patek Philippe,electronic,6281588,93,Mẫu Patek Philippe Urban 848 S của Patek Philippe - thiết kế hiện đại.,1.0,music_control;nfc;sleep_tracking,none,,,
117,Tissot Apex 69 Series,Tissot,mechanical,12560692,11,Mẫu Tissot Apex 69 Series của Tissot - thiết kế cổ điển.,,,,manual,36.0,0.0
118,Tissot Pilot 62 One,Tissot,electronic,14371057,71,Mẫu Tissot Pilot 62 One của Tissot - thiết kế hiện đại.,3.0,music_control,none,,,
119,Patek Philippe Classic 992 Pro,Patek Philippe,electronic,9205946,45,Mẫu Patek Philippe Classic 992 Pro của Patek Philippe - thiết kế hiện đại.,1.0,waterproof;gps;sleep_tracking;notifications;music_control,bluetooth,,,
120,Skagen Urban 118 Pro,Skagen,mechanical,8824450,54,Mẫu Skagen Urban 118 Pro của Skagen - thiết kế cổ điển.,,,,automatic,60.0,0.0
121,Rolex Classic 185 Pro,Rolex,electronic,10689132,39,Mẫu Rolex Classic 185 Pro của Rolex - thiết kế hiện đại.,3.0,heart_rate;gps;music_control,gps,,,
122,Seiko Sport 765 Z,Seiko,mechanical,3619427,53,Mẫu Seiko Sport 765 Z của Seiko - thiết kế cổ điển.,,,,manual,42.0,1.0
123,Tag Heuer Voyager 611 Series,Tag Heuer,mechanical,13308462,19,Mẫu Tag Heuer Voyager 611 Series của Tag Heuer - thiết kế cổ điển.,,,,automatic,80.0,0.0
124,Citizen Prime 454 X,Citizen,mechanical,7542095,56,Mẫu Citizen Prime 454 X của Citizen - thiết kế cổ điển.,,,,manual,42.0,1.0
125,Orient Urban 441 Series,Orient,electronic,4607074,86,Mẫu Orient Urban 441 Series của Orient - thiết kế hiện đại.,5.0,step_counter;heart_rate;gps;waterproof,bluetooth,,,
126,Omega Elite 786 Model,Omega,mechanical,11580333,37,Mẫu Omega Elite 786 Model của Omega - thiết kế cổ điển.,,,,manual,36.0,1.0
127,Patek Philippe Master 133 X,Patek Philippe,electronic,8222444,29,Mẫu Patek Philippe Master 133 X của Patek Philippe - thiết kế hiện đại.,5.0,sleep_tracking;heart_rate;waterproof;music_control;notifications,bluetooth,,,
128,Citizen Urban 590 X,Citizen,electronic,8814295,90,Mẫu Citizen Urban 590 X của Citizen - thiết kế hiện đại.,7.0,step_counter;heart_rate;waterproof;music_control,none,,,
129,Citizen Eco-Drive Apex 852 Lite,Citizen Eco-Drive,mechanical,1777883,13,Mẫu Citizen Eco-Drive Apex 852 Lite của Citizen Eco-Drive - thiết kế cổ điển.,,,,automatic,48.0,0.0
130,Citizen Heritage 892 Pro,Citizen,mechanical,11314170,28,Mẫu Citizen Heritage 892 Pro của Citizen - thiết kế cổ điển.,,,,manual,80.0,1.0
131,Orient Pilot 523 Line,Orient,mechanical,13635880,44,Mẫu Orient Pilot 523 Line của Orient - thiết kế cổ điển.,,,,manual,72.0,0.0
132,Timex Sport 150 Pro,Timex,electronic,3360441,77,Mẫu Timex Sport 150 Pro của Timex - thiết kế hiện đại.,2.0,nfc,gps,,,
133,Movado Voyager 460 One,Movado,electronic,9823382,79,Mẫu Movado Voyager 460 One của Movado - thiết kế hiện đại.,3.0,nfc;waterproof;heart_rate,gps,,,
134,Omega Prime 606 Edition,Omega,mechanical,5603162,9,Mẫu Omega Prime 606 Edition của Omega - thiết kế cổ điển.,,,,manual,48.0,0.0
135,Swatch Prime 79 Series,Swatch,mechanical,9417622,64,Mẫu Swatch Prime 79 Series của Swatch - thiết kế cổ điển.,,,,manual,48.0,0.0
136,Casio Apex 931 One,Casio,electronic,9951643,41,Mẫu Casio Apex 931 One của Casio - thiết kế hiện đại.,5.0,nfc;heart_rate;waterproof;music_control,none,,,
137,Citizen Pilot 662 Model,Citizen,electronic,1067561,90,Mẫu Citizen Pilot 662 Model của Citizen - thiết kế hiện đại.,4.0,nfc;notifications;music_control;sleep_tracking,gps,,,
138,Tag Heuer Voyager 54 Lite,Tag Heuer,mechanical,1455722,12,Mẫu Tag Heuer Voyager 54 Lite của Tag Heuer - thiết kế cổ điển.,,,,manual,42.0,0.0
139,Citizen Eco-Drive Master 342 Series,Citizen Eco-Drive,electronic,8949723,18,Mẫu Citizen Eco-Drive Master 342 Series của Citizen Eco-Drive - thiết kế hiện đại.,3.0,music_control;gps;step_counter,bluetooth,,,
140,Hublot Urban 833 Model,Hublot,mechanical,10216688,94,Mẫu Hublot Urban 833 Model của Hublot - thiết kế cổ điển.,,,,automatic,72.0,0.0
141,Swatch Classic 372 Pro,Swatch,mechanical,3113812,27,Mẫu Swatch Classic 372 Pro của Swatch - thiết kế cổ điển.,,,,manual,80.0,0.0
142,Tissot Master 80 Pro,Tissot,mechanical,12744212,12,Mẫu Tissot Master 80 Pro của Tissot - thiết kế cổ điển.,,,,automatic,72.0,0.0
143,Citizen Eco-Drive Master 612 X,Citizen Eco-Drive,electronic,2736665,23,Mẫu Citizen Eco-Drive Master 612 X của Citizen Eco-Drive - thiết kế hiện đại.,10.0,nfc;sleep_tracking;waterproof;heart_rate;music_control,none,,,
144,Timex Apex 626 Pro,Timex,electronic,11409672,100,Mẫu Timex Apex 626 Pro của Timex - thiết kế hiện đại.,4.0,waterproof;nfc,gps,,,
145,Fossil Urban 695 One,Fossil,electronic,14774377,59,Mẫu Fossil Urban 695 One của Fossil - thiết kế hiện đại.,10.0,music_control;step_counter;notifications,gps,,,
146,Fossil Voyager 142 Pro,Fossil,electronic,1256607,61,Mẫu Fossil Voyager 142 Pro của Fossil - thiết kế hiện đại.,10.0,gps;sleep_tracking;step_counter,bluetooth,,,
147,Hamilton Prime 461 Z,Hamilton,mechanical,2636556,55,Mẫu Hamilton Prime 461 Z của Hamilton - thiết kế cổ điển.,,,,automatic,40.0,0.0
148,Seiko Heritage 55 X,Seiko,electronic,7779103,30,Mẫu Seiko Heritage 55 X của Seiko - thiết kế hiện đại.,4.0,sleep_tracking,wifi,,,
149,Orient Urban 811 Model,Orient,mechanical,2495194,36,Mẫu Orient Urban 811 Model của Orient - thiết kế cổ điển.,,,,manual,72.0,1.0
150,Bulova Apex 631 Edition,Bulova,electronic,13634934,2,Mẫu Bulova Apex 631 Edition của Bulova - thiết kế hiện đại.,3.0,nfc;step_counter,gps,,,
151,Omega Elite 309 Series,Omega,mechanical,1192367,53,Mẫu Omega Elite 309 Series của Omega - thiết kế cổ điển.,,,,manual,36.0,1.0
152,Bulova Voyager 549 Edition,Bulova,electronic,9663347,73,Mẫu Bulova Voyager 549 Edition của Bulova - thiết kế hiện đại.,2.0,step_counter;waterproof,bluetooth,,,
153,Timex Voyager 427 Model,Timex,electronic,10133384,10,Mẫu Timex Voyager 427 Model của Timex - thiết kế hiện đại.,5.0,gps;step_counter;music_control,bluetooth,,,
154,Bulova Classic 651 X,Bulova,mechanical,14725072,32,Mẫu Bulova Classic 651 X của Bulova - thiết kế cổ điển.,,,,automatic,42.0,1.0
155,Orient Voyager 753 Lite,Orient,mechanical,2434439,45,Mẫu Orient Voyager 753 Lite của Orient - thiết kế cổ điển.,,,,manual,80.0,0.0
156,Longines Apex 647 Model,Longines,mechanical,12266716,8,Mẫu Longines Apex 647 Model của Longines - thiết kế cổ điển.,,,,manual,36.0,0.0
157,Fossil Classic 324 Pro,Fossil,mechanical,7973062,69,Mẫu Fossil Classic 324 Pro của Fossil - thiết kế cổ điển.,,,,manual,42.0,1.0
158,Fossil Prime 366 Edition,Fossil,electronic,13054075,42,Mẫu Fossil Prime 366 Edition của Fossil - thiết kế hiện đại.,3.0,sleep_tracking,gps,,,
